algorithm,n_gen,n_eval,hypervolume
NSGA-II,104,10400,0.3498639854028324
NSGA-II,105,10500,0.3509404156875791
NSGA-II,106,10600,0.35061807475513596
NSGA-II,107,10700,0.35050009871415744
NSGA-II,108,10800,0.3499338003282888
NSGA-II,109,10900,0.35214528173558574
NSGA-II,110,11000,0.35060243237636735
NSGA-II,111,11100,0.34992870762992767
NSGA-II,112,11200,0.3510846466717723
NSGA-II,113,11300,0.3503152590787004
NSGA-II,114,11400,0.3507904602477362
NSGA-II,115,11500,0.3509215757471414
NSGA-II,116,11600,0.3492400808499364
NSGA-II,117,11700,0.3502187948601758
NSGA-II,118,11800,0.350314461730705
NSGA-II,119,11900,0.34996689765916217
NSGA-II,120,12000,0.35024166978447746
NSGA-II,121,12100,0.35040826220732835
NSGA-II,122,12200,0.3483310231520509
NSGA-II,123,12300,0.3507194859905183
NSGA-II,124,12400,0.35064602834443853
NSGA-II,125,12500,0.35106402148903687
NSGA-II,126,12600,0.3512803837415339
NSGA-II,127,12700,0.35182278082786755
NSGA-II,128,12800,0.3503181639207828
NSGA-II,129,12900,0.34967594204092733
NSGA-II,130,13000,0.3497002658405902
NSGA-II,131,13100,0.3520196638017961
NSGA-II,132,13200,0.3510166541922915
NSGA-II,133,13300,0.34988337716116624
NSGA-II,134,13400,0.3500090181981498
NSGA-II,135,13500,0.35175362568928714
NSGA-II,136,13600,0.3516327722781
NSGA-II,137,13700,0.3506521598601744
NSGA-II,138,13800,0.3507346291662979
NSGA-II,139,13900,0.35094862596760806
NSGA-II,140,14000,0.3504906005047125
NSGA-II,141,14100,0.35121860711131575
NSGA-II,142,14200,0.3509442530659064
NSGA-II,143,14300,0.35041681452236273
NSGA-II,144,14400,0.3504848937679245
NSGA-II,145,14500,0.3494845728308056
NSGA-II,146,14600,0.35026446215299994
NSGA-II,147,14700,0.3486676880390146
NSGA-II,148,14800,0.3508628312920182
NSGA-II,149,14900,0.3505331046478466
NSGA-II,150,15000,0.3510290429900019
NSGA-II,151,15100,0.35142326737800567
NSGA-II,152,15200,0.351679477957493
NSGA-II,153,15300,0.35166065860471707
NSGA-II,154,15400,0.3521010760783596
NSGA-II,155,15500,0.35139959542234633
NSGA-II,156,15600,0.35050724687905555
NSGA-II,157,15700,0.3510267932147464
NSGA-II,158,15800,0.35102845397908977
NSGA-II,159,15900,0.351036367047445
NSGA-II,160,16000,0.3518897080150313
NSGA-II,161,16100,0.3519006095698222
NSGA-II,162,16200,0.3514711724912237
NSGA-II,163,16300,0.351138435649476
NSGA-II,164,16400,0.35111837665803924
NSGA-II,165,16500,0.351307332838331
NSGA-II,166,16600,0.3502797680096562
NSGA-II,167,16700,0.3500271332105523
NSGA-II,168,16800,0.35096574492609933
NSGA-II,169,16900,0.3511586547719776
NSGA-II,170,17000,0.3491622448386812
NSGA-II,171,17100,0.3504635551523372
NSGA-II,172,17200,0.3472740066359293
NSGA-II,173,17300,0.348240948996706
NSGA-II,174,17400,0.34939287534868246
NSGA-II,175,17500,0.35041709671869975
NSGA-II,176,17600,0.35042403477194295
NSGA-II,177,17700,0.35058595820448263
NSGA-II,178,17800,0.35144627914443516
NSGA-II,179,17900,0.35128389404490684
NSGA-II,180,18000,0.3513537387037883
NSGA-II,181,18100,0.35125235915979347
NSGA-II,182,18200,0.3493163849862001
NSGA-II,183,18300,0.3503155993302669
NSGA-II,184,18400,0.3511507989948417
NSGA-II,185,18500,0.3517568302594351
NSGA-II,186,18600,0.3517291214242051
NSGA-II,187,18700,0.35194485586056967
NSGA-II,188,18800,0.351938743460405
NSGA-II,189,18900,0.35227050812528105
NSGA-II,190,19000,0.35251383047162466
NSGA-II,191,19100,0.352086080645299
NSGA-II,192,19200,0.35238464373553574
NSGA-II,193,19300,0.352796378547247
NSGA-II,194,19400,0.35273016801009216
NSGA-II,195,19500,0.3527631639545996
NSGA-II,196,19600,0.3525806131622138
NSGA-II,197,19700,0.35222235376415434
NSGA-II,198,19800,0.35184887986319413
NSGA-II,199,19900,0.3510048325041414
NSGA-II,200,20000,0.351349762118806
NSGA-III,1,100,0.28119509497502193
NSGA-III,2,200,0.28392901420255495
NSGA-III,3,300,0.2908526411156473
NSGA-III,4,400,0.31252935681659977
NSGA-III,5,500,0.3343464831876199
NSGA-III,6,600,0.33531607870405733
NSGA-III,7,700,0.3377840265670725
NSGA-III,8,800,0.3401262812320737
NSGA-III,9,900,0.3412008019350684
NSGA-III,10,1000,0.3416486324812894
NSGA-III,11,1100,0.3425800538120053
NSGA-III,12,1200,0.34252074873088156
NSGA-III,13,1300,0.3416991948904744
NSGA-III,14,1400,0.3410973653095419
NSGA-III,15,1500,0.342971088957963
NSGA-III,16,1600,0.3435032377621903
NSGA-III,17,1700,0.3430833427041472
NSGA-III,18,1800,0.3457182355271256
NSGA-III,19,1900,0.34564762849650793
NSGA-III,20,2000,0.34553509657773335
NSGA-III,21,2100,0.33332990308858246
NSGA-III,22,2200,0.33380663546505795
NSGA-III,23,2300,0.332595612881485
NSGA-III,24,2400,0.33457327224484484
